:START_ID(Account number),:END_ID(Transfer  id),:TYPE,date
3619224246,a3747d4b-4f35-4fec-8391-4fe86f2b4652,MADE,2022-03-19 19:11:03
8481778930,a3747d4b-4f35-4fec-8391-4fe86f2b4652,RECIEVED,2022-03-19 19:11:03
3619224246,b7c15626-5105-4092-800b-36aa891464e4,MADE,2023-04-29 18:22:15
6350269998,b7c15626-5105-4092-800b-36aa891464e4,RECIEVED,2023-04-29 18:22:15
3619224246,4729d10a-f512-43f9-96bd-20f25c588392,MADE,
7511343610,4729d10a-f512-43f9-96bd-20f25c588392,RECIEVED,
9325796671,88e85469-1422-4000-9569-06016cd025e2,MADE,2023-05-16 04:49:21
8129123348,88e85469-1422-4000-9569-06016cd025e2,RECIEVED,
9325796671,bd618a93-72cb-420f-ad2b-bdae1137c65a,MADE,
4044010238,bd618a93-72cb-420f-ad2b-bdae1137c65a,RECIEVED,
2513330156,7775b6ad-9dc4-471d-94f6-00f98cae1900,MADE,
6778974620,7775b6ad-9dc4-471d-94f6-00f98cae1900,RECIEVED,
2513330156,38204697-18f8-4bfa-9b97-e622800c26ce,MADE,
8481778930,38204697-18f8-4bfa-9b97-e622800c26ce,RECIEVED,
684926480,8d7c8e5f-0ccf-4668-afcc-86ce80b40a86,MADE,2022-11-25 13:15:53
364448505,8d7c8e5f-0ccf-4668-afcc-86ce80b40a86,RECIEVED,2022-11-25 13:15:53
684926480,194749bc-494f-4327-82de-db5d15d3542a,MADE,
6107241022,194749bc-494f-4327-82de-db5d15d3542a,RECIEVED,
684926480,51f058f3-faf8-41b8-b350-63bf05ca0424,MADE,
5040647053,51f058f3-faf8-41b8-b350-63bf05ca0424,RECIEVED,
7516407424,a9321359-6968-46e7-ab28-23e4fcfeff0d,MADE,2020-06-03 07:34:46
6485848695,a9321359-6968-46e7-ab28-23e4fcfeff0d,RECIEVED,
5160794964,34572075-8fa1-4861-9f56-74703956a446,MADE,
